Year,Format,Country,From,Score_type,Score,N_score
1959,Final,United Kingdom,Monaco,Jury,2,2.833333333333333
1959,Final,United Kingdom,Austria,Jury,2,2.833333333333333
1959,Final,United Kingdom,Belgium,Jury,2,2.833333333333333
1959,Final,United Kingdom,France,Jury,1,1.0
1959,Final,United Kingdom,Denmark,Jury,1,1.0
1959,Final,Belgium,Germany,Jury,3,4.666666666666667
1959,Final,Belgium,United Kingdom,Jury,2,2.833333333333333
1959,Final,Belgium,Denmark,Jury,2,2.833333333333333
1959,Final,Belgium,Netherlands,Jury,1,1.0
1959,Final,Belgium,Monaco,Jury,1,1.0
1960,Final,United Kingdom,Luxembourg,Jury,5,8.333333333333332
1960,Final,United Kingdom,Netherlands,Jury,5,8.333333333333332
1960,Final,United Kingdom,Switzerland,Jury,4,6.5
1960,Final,United Kingdom,Austria,Jury,3,4.666666666666667
1960,Final,United Kingdom,Italy,Jury,2,2.833333333333333
1960,Final,United Kingdom,Norway,Jury,2,2.833333333333333
1960,Final,United Kingdom,Germany,Jury,1,1.0
1960,Final,United Kingdom,Belgium,Jury,1,1.0
1960,Final,United Kingdom,Sweden,Jury,1,1.0
1960,Final,United Kingdom,Monaco,Jury,1,1.0
1960,Final,Sweden,France,Jury,2,2.833333333333333
1960,Final,Sweden,Italy,Jury,1,1.0
1960,Final,Sweden,Netherlands,Jury,1,1.0
1960,Final,Luxembourg,Italy,Jury,1,1.0
1960,Final,Denmark,Norway,Jury,2,2.833333333333333
1960,Final,Denmark,United Kingdom,Jury,1,1.0
1960,Final,Denmark,Luxembourg,Jury,1,1.0
1960,Final,Belgium,Sweden,Jury,4,6.5
1960,Final,Belgium,Italy,Jury,3,4.666666666666667
1960,Final,Belgium,Austria,Jury,1,1.0
1960,Final,Belgium,Germany,Jury,1,1.0
1960,Final,Norway,Switzerland,Jury,4,6.5
1960,Final,Norway,Denmark,Jury,2,2.833333333333333
1960,Final,Norway,Belgium,Jury,1,1.0
1960,Final,Norway,Netherlands,Jury,1,1.0
1960,Final,Norway,France,Jury,1,1.0
1960,Final,Norway,United Kingdom,Jury,1,1.0
1960,Final,Norway,Austria,Jury,1,1.0
1960,Final,Austria,Denmark,Jury,2,2.833333333333333
1960,Final,Austria,United Kingdom,Jury,2,2.833333333333333
1960,Final,Austria,Belgium,Jury,1,1.0
1960,Final,Austria,Italy,Jury,1,1.0
1960,Final,Monaco,Germany,Jury,7,11.999999999999998
1960,Final,Monaco,France,Jury,3,4.666666666666667
1960,Final,Monaco,Denmark,Jury,2,2.833333333333333
1960,Final,Monaco,Luxembourg,Jury,1,1.0
1960,Final,Monaco,United Kingdom,Jury,1,1.0
1960,Final,Monaco,Switzerland,Jury,1,1.0
1960,Final,Switzerland,Austria,Jury,2,2.833333333333333
1960,Final,Switzerland,Italy,Jury,1,1.0
1960,Final,Switzerland,Luxembourg,Jury,1,1.0
1960,Final,Switzerland,Norway,Jury,1,1.0
1960,Final,Netherlands,Italy,Jury,1,1.0
1960,Final,Netherlands,Belgium,Jury,1,1.0
1960,Final,Germany,France,Jury,4,6.5
1960,Final,Germany,Austria,Jury,2,2.833333333333333
1960,Final,Germany,Belgium,Jury,2,2.833333333333333
1960,Final,Germany,Monaco,Jury,2,2.833333333333333
1960,Final,Germany,Sweden,Jury,1,1.0
1960,Final,Italy,Monaco,Jury,2,2.833333333333333
1960,Final,Italy,Belgium,Jury,1,1.0
1960,Final,Italy,Luxembourg,Jury,1,1.0
1960,Final,Italy,Netherlands,Jury,1,1.0
1960,Final,France,Norway,Jury,5,8.333333333333332
1960,Final,France,Monaco,Jury,5,8.333333333333332
1960,Final,France,United Kingdom,Jury,5,8.333333333333332
1960,Final,France,Sweden,Jury,4,6.5
1960,Final,France,Denmark,Jury,4,6.5
1960,Final,France,Belgium,Jury,3,4.666666666666667
1960,Final,France,Netherlands,Jury,2,2.833333333333333
1960,Final,France,Germany,Jury,1,1.0
1960,Final,France,Austria,Jury,1,1.0
1960,Final,France,Switzerland,Jury,1,1.0
1960,Final,France,Luxembourg,Jury,1,1.0
1961,Final,Spain,France,Jury,2,2.571428571428571
1961,Final,Spain,Norway,Jury,2,2.571428571428571
1961,Final,Spain,Monaco,Jury,1,1.0
1961,Final,Spain,United Kingdom,Jury,1,1.0
1961,Final,Spain,Netherlands,Jury,1,1.0
1961,Final,Spain,Sweden,Jury,1,1.0
1961,Final,Monaco,Finland,Jury,3,4.142857142857143
1961,Final,Monaco,Spain,Jury,1,1.0
1961,Final,Monaco,United Kingdom,Jury,1,1.0
1961,Final,Monaco,Switzerland,Jury,1,1.0
1961,Final,Austria,United Kingdom,Jury,1,1.0
1961,Final,Finland,Italy,Jury,2,2.571428571428571
1961,Final,Finland,United Kingdom,Jury,2,2.571428571428571
1961,Final,Finland,France,Jury,1,1.0
1961,Final,Finland,Denmark,Jury,1,1.0
1961,Final,Yugoslavia,Austria,Jury,3,4.142857142857143
1961,Final,Yugoslavia,France,Jury,2,2.571428571428571
1961,Final,Yugoslavia,United Kingdom,Jury,1,1.0
1961,Final,Yugoslavia,Denmark,Jury,1,1.0
1961,Final,Yugoslavia,Switzerland,Jury,1,1.0
1961,Final,Yugoslavia,Netherlands,Jury,1,1.0
1961,Final,Netherlands,Italy,Jury,2,2.571428571428571
1961,Final,Netherlands,Yugoslavia,Jury,2,2.571428571428571
1961,Final,Netherlands,France,Jury,1,1.0
1961,Final,Netherlands,Germany,Jury,1,1.0
1961,Final,Sweden,France,Jury,2,2.571428571428571
1961,Final,Germany,Denmark,Jury,1,1.0
1961,Final,Germany,Austria,Jury,1,1.0
1961,Final,Germany,Sweden,Jury,1,1.0
1961,Final,France,Germany,Jury,4,5.714285714285714
1961,Final,France,Spain,Jury,2,2.571428571428571
1961,Final,France,United Kingdom,Jury,2,2.571428571428571
1961,Final,France,Monaco,Jury,2,2.571428571428571
1961,Final,France,Luxembourg,Jury,1,1.0
1961,Final,France,Sweden,Jury,1,1.0
1961,Final,France,Finland,Jury,1,1.0
1961,Final,Switzerland,Sweden,Jury,4,5.714285714285714
1961,Final,Switzerland,Netherlands,Jury,2,2.571428571428571
1961,Final,Switzerland,Monaco,Jury,2,2.571428571428571
1961,Final,Switzerland,Italy,Jury,2,2.571428571428571
1961,Final,Switzerland,United Kingdom,Jury,2,2.571428571428571
1961,Final,Switzerland,Austria,Jury,2,2.571428571428571
1961,Final,Switzerland,Spain,Jury,1,1.0
1961,Final,Switzerland,Yugoslavia,Jury,1,1.0
1961,Final,Belgium,Luxembourg,Jury,1,1.0
1961,Final,Norway,Belgium,Jury,5,7.285714285714286
1961,Final,Norway,Finland,Jury,2,2.571428571428571
1961,Final,Norway,Spain,Jury,1,1.0
1961,Final,Norway,Yugoslavia,Jury,1,1.0
1961,Final,Norway,Denmark,Jury,1,1.0
1961,Final,Denmark,Norway,Jury,8,12.0
1961,Final,Denmark,Sweden,Jury,2,2.571428571428571
1961,Final,Denmark,Finland,Jury,1,1.0
1961,Final,Denmark,Netherlands,Jury,1,1.0
1961,Final,Luxembourg,Yugoslavia,Jury,5,7.285714285714286
1961,Final,Luxembourg,Germany,Jury,5,7.285714285714286
1961,Final,Luxembourg,Austria,Jury,4,5.714285714285714
1961,Final,Luxembourg,Monaco,Jury,4,5.714285714285714
1961,Final,Luxembourg,Finland,Jury,3,4.142857142857143
1961,Final,Luxembourg,Italy,Jury,3,4.142857142857143
1961,Final,Luxembourg,Spain,Jury,2,2.571428571428571
1961,Final,Luxembourg,Denmark,Jury,1,1.0
1961,Final,Luxembourg,Switzerland,Jury,1,1.0
1961,Final,Luxembourg,Netherlands,Jury,1,1.0
1961,Final,Luxembourg,Sweden,Jury,1,1.0
1961,Final,Luxembourg,France,Jury,1,1.0
1961,Final,United Kingdom,Luxembourg,Jury,8,12.0
1961,Final,United Kingdom,Switzerland,Jury,7,10.428571428571429
1961,Final,United Kingdom,Spain,Jury,3,4.142857142857143
1961,Final,United Kingdom,Netherlands,Jury,3,4.142857142857143
1961,Final,United Kingdom,Italy,Jury,1,1.0
1961,Final,United Kingdom,Denmark,Jury,1,1.0
1961,Final,United Kingdom,Belgium,Jury,1,1.0
1961,Final,Italy,Denmark,Jury,4,5.714285714285714
1961,Final,Italy,Belgium,Jury,4,5.714285714285714
1961,Final,Italy,France,Jury,1,1.0
1961,Final,Italy,Yugoslavia,Jury,1,1.0
1961,Final,Italy,Netherlands,Jury,1,1.0
1961,Final,Italy,Monaco,Jury,1,1.0
1962,Final,Finland,United Kingdom,Jury,3,12.0
1962,Final,Finland,Norway,Jury,1,1.0
1962,Final,Denmark,Italy,Jury,1,1.0
1962,Final,Denmark,Sweden,Jury,1,1.0
1962,Final,Sweden,Denmark,Jury,3,12.0
1962,Final,Sweden,Netherlands,Jury,1,1.0
1962,Final,Germany,United Kingdom,Jury,2,6.5
1962,Final,Germany,Netherlands,Jury,2,6.5
1962,Final,Germany,Finland,Jury,2,6.5
1962,Final,Germany,Monaco,Jury,2,6.5
1962,Final,Germany,Denmark,Jury,1,1.0
1962,Final,France,Switzerland,Jury,3,12.0
1962,Final,France,Sweden,Jury,3,12.0
1962,Final,France,Norway,Jury,3,12.0
1962,Final,France,Yugoslavia,Jury,3,12.0
1962,Final,France,Germany,Jury,3,12.0
1962,Final,France,Austria,Jury,2,6.5
1962,Final,France,Belgium,Jury,2,6.5
1962,Final,France,Italy,Jury,2,6.5
1962,Final,France,Spain,Jury,2,6.5
1962,Final,France,Luxembourg,Jury,1,1.0
1962,Final,France,Monaco,Jury,1,1.0
1962,Final,France,United Kingdom,Jury,1,1.0
1962,Final,Norway,France,Jury,2,6.5
1962,Final,Switzerland,Germany,Jury,2,6.5
1962,Final,Yugoslavia,Italy,Jury,3,12.0
1962,Final,Yugoslavia,France,Jury,3,12.0
1962,Final,Yugoslavia,Sweden,Jury,2,6.5
1962,Final,Yugoslavia,Belgium,Jury,1,1.0
1962,Final,Yugoslavia,Finland,Jury,1,1.0
1962,Final,United Kingdom,Finland,Jury,3,12.0
1962,Final,United Kingdom,Denmark,Jury,2,6.5
1962,Final,United Kingdom,Switzerland,Jury,2,6.5
1962,Final,United Kingdom,Yugoslavia,Jury,2,6.5
1962,Final,United Kingdom,Spain,Jury,1,1.0
1962,Final,Luxembourg,Spain,Jury,3,12.0
1962,Final,Luxembourg,Belgium,Jury,3,12.0
1962,Final,Luxembourg,Monaco,Jury,3,12.0
1962,Final,Luxembourg,Austria,Jury,1,1.0
1962,Final,Luxembourg,Switzerland,Jury,1,1.0
1962,Final,Italy,Luxembourg,Jury,2,6.5
1962,Final,Italy,Yugoslavia,Jury,1,1.0
1962,Final,Monaco,Austria,Jury,3,12.0
1962,Final,Monaco,Luxembourg,Jury,3,12.0
1962,Final,Monaco,Netherlands,Jury,3,12.0
1962,Final,Monaco,Norway,Jury,2,6.5
1962,Final,Monaco,France,Jury,1,1.0
1962,Final,Monaco,Germany,Jury,1,1.0
1963,Final,United Kingdom,Spain,Jury,5,12.0
1963,Final,United Kingdom,Norway,Jury,5,12.0
1963,Final,United Kingdom,Finland,Jury,3,6.5
1963,Final,United Kingdom,France,Jury,3,6.5
1963,Final,United Kingdom,Yugoslavia,Jury,3,6.5
1963,Final,United Kingdom,Denmark,Jury,3,6.5
1963,Final,United Kingdom,Netherlands,Jury,3,6.5
1963,Final,United Kingdom,Sweden,Jury,2,3.75
1963,Final,United Kingdom,Monaco,Jury,1,1.0
1963,Final,Germany,Monaco,Jury,3,6.5
1963,Final,Germany,Norway,Jury,2,3.75
1963,Final,Austria,Finland,Jury,4,9.25
1963,Final,Austria,United Kingdom,Jury,4,9.25
1963,Final,Austria,Sweden,Jury,3,6.5
1963,Final,Austria,Belgium,Jury,2,3.75
1963,Final,Austria,France,Jury,2,3.75
1963,Final,Austria,Denmark,Jury,1,1.0
1963,Final,Italy,Denmark,Jury,5,12.0
1963,Final,Italy,Switzerland,Jury,5,12.0
1963,Final,Italy,Monaco,Jury,5,12.0
1963,Final,Italy,Yugoslavia,Jury,4,9.25
1963,Final,Italy,Luxembourg,Jury,4,9.25
1963,Final,Italy,Belgium,Jury,3,6.5
1963,Final,Italy,Norway,Jury,3,6.5
1963,Final,Italy,Spain,Jury,3,6.5
1963,Final,Italy,Finland,Jury,2,3.75
1963,Final,Italy,United Kingdom,Jury,2,3.75
1963,Final,Italy,Netherlands,Jury,1,1.0
1963,Final,Denmark,Belgium,Jury,5,12.0
1963,Final,Denmark,Luxembourg,Jury,5,12.0
1963,Final,Denmark,Netherlands,Jury,5,12.0
1963,Final,Denmark,Sweden,Jury,5,12.0
1963,Final,Denmark,Finland,Jury,5,12.0
1963,Final,Denmark,Norway,Jury,4,9.25
1963,Final,Denmark,Austria,Jury,3,6.5
1963,Final,Denmark,Switzerland,Jury,3,6.5
1963,Final,Denmark,United Kingdom,Jury,3,6.5
1963,Final,Denmark,Germany,Jury,2,3.75
1963,Final,Denmark,Italy,Jury,2,3.75
1963,Final,Yugoslavia,Spain,Jury,2,3.75
1963,Final,Yugoslavia,France,Jury,1,1.0
1963,Final,Switzerland,Italy,Jury,5,12.0
1963,Final,Switzerland,United Kingdom,Jury,5,12.0
1963,Final,Switzerland,Austria,Jury,5,12.0
1963,Final,Switzerland,Monaco,Jury,4,9.25
1963,Final,Switzerland,Spain,Jury,4,9.25
1963,Final,Switzerland,Denmark,Jury,4,9.25
1963,Final,Switzerland,Germany,Jury,4,9.25
1963,Final,Switzerland,Belgium,Jury,4,9.25
1963,Final,Switzerland,Luxembourg,Jury,3,6.5
1963,Final,Switzerland,Sweden,Jury,1,1.0
1963,Final,Switzerland,Norway,Jury,1,1.0
1963,Final,France,Yugoslavia,Jury,5,12.0
1963,Final,France,Switzerland,Jury,4,9.25
1963,Final,France,Netherlands,Jury,4,9.25
1963,Final,France,Italy,Jury,4,9.25
1963,Final,France,Austria,Jury,2,3.75
1963,Final,France,Monaco,Jury,2,3.75
1963,Final,France,Germany,Jury,1,1.0
1963,Final,France,Belgium,Jury,1,1.0
1963,Final,France,Luxembourg,Jury,1,1.0
1963,Final,France,Spain,Jury,1,1.0
1963,Final,Spain,Yugoslavia,Jury,2,3.75
1963,Final,Belgium,Austria,Jury,4,9.25
1963,Final,Monaco,Germany,Jury,5,12.0
1963,Final,Monaco,France,Jury,5,12.0
1963,Final,Monaco,Sweden,Jury,4,9.25
1963,Final,Monaco,Italy,Jury,3,6.5
1963,Final,Monaco,Luxembourg,Jury,2,3.75
1963,Final,Monaco,Netherlands,Jury,2,3.75
1963,Final,Monaco,United Kingdom,Jury,1,1.0
1963,Final,Monaco,Yugoslavia,Jury,1,1.0
1963,Final,Monaco,Austria,Jury,1,1.0
1963,Final,Monaco,Switzerland,Jury,1,1.0
1963,Final,Luxembourg,France,Jury,4,9.25
1963,Final,Luxembourg,Germany,Jury,3,6.5
1963,Final,Luxembourg,Denmark,Jury,2,3.75
1963,Final,Luxembourg,Switzerland,Jury,2,3.75
1963,Final,Luxembourg,Finland,Jury,1,1.0
1963,Final,Luxembourg,Italy,Jury,1,1.0
1964,Final,Luxembourg,Germany,Jury,5,12.0
1964,Final,Luxembourg,Netherlands,Jury,3,6.5
1964,Final,Luxembourg,Italy,Jury,3,6.5
1964,Final,Luxembourg,France,Jury,3,6.5
1964,Final,Netherlands,United Kingdom,Jury,1,1.0
1964,Final,Netherlands,Denmark,Jury,1,1.0
1964,Final,Norway,Denmark,Jury,5,12.0
1964,Final,Norway,Finland,Jury,1,1.0
1964,Final,Denmark,Spain,Jury,3,6.5
1964,Final,Denmark,Norway,Jury,1,1.0
1964,Final,Finland,United Kingdom,Jury,3,6.5
1964,Final,Finland,Denmark,Jury,3,6.5
1964,Final,Finland,Norway,Jury,3,6.5
1964,Final,Austria,Italy,Jury,5,12.0
1964,Final,Austria,Spain,Jury,5,12.0
1964,Final,Austria,Belgium,Jury,1,1.0
1964,Final,France,Monaco,Jury,5,12.0
1964,Final,France,Austria,Jury,3,6.5
1964,Final,France,Portugal,Jury,3,6.5
1964,Final,France,Spain,Jury,1,1.0
1964,Final,France,Yugoslavia,Jury,1,1.0
1964,Final,France,Luxembourg,Jury,1,1.0
1964,Final,United Kingdom,Switzerland,Jury,5,12.0
1964,Final,United Kingdom,Norway,Jury,5,12.0
1964,Final,United Kingdom,Finland,Jury,3,6.5
1964,Final,United Kingdom,Austria,Jury,1,1.0
1964,Final,United Kingdom,Netherlands,Jury,1,1.0
1964,Final,United Kingdom,France,Jury,1,1.0
1964,Final,United Kingdom,Germany,Jury,1,1.0
1964,Final,Monaco,France,Jury,5,12.0
1964,Final,Monaco,Yugoslavia,Jury,3,6.5
1964,Final,Monaco,Belgium,Jury,3,6.5
1964,Final,Monaco,Luxembourg,Jury,3,6.5
1964,Final,Monaco,Switzerland,Jury,1,1.0
1964,Final,Italy,Austria,Jury,5,12.0
1964,Final,Italy,Belgium,Jury,5,12.0
1964,Final,Italy,Luxembourg,Jury,5,12.0
1964,Final,Italy,Netherlands,Jury,5,12.0
1964,Final,Italy,Portugal,Jury,5,12.0
1964,Final,Italy,Finland,Jury,5,12.0
1964,Final,Italy,United Kingdom,Jury,5,12.0
1964,Final,Italy,Yugoslavia,Jury,5,12.0
1964,Final,Italy,Germany,Jury,3,6.5
1964,Final,Italy,Switzerland,Jury,3,6.5
1964,Final,Italy,Monaco,Jury,3,6.5
1964,Final,Belgium,Portugal,Jury,1,1.0
1964,Final,Belgium,Monaco,Jury,1,1.0
1964,Final,Spain,Italy,Jury,1,1.0
1965,Final,Netherlands,Norway,Jury,5,9.8
1965,Final,United Kingdom,Belgium,Jury,6,12.0
1965,Final,United Kingdom,Denmark,Jury,5,9.8
1965,Final,United Kingdom,Switzerland,Jury,5,9.8
1965,Final,United Kingdom,Spain,Jury,5,9.8
1965,Final,United Kingdom,Sweden,Jury,3,5.4
1965,Final,United Kingdom,Norway,Jury,1,1.0
1965,Final,United Kingdom,Italy,Jury,1,1.0
1965,Final,Ireland,Italy,Jury,5,9.8
1965,Final,Ireland,Yugoslavia,Jury,3,5.4
1965,Final,Ireland,Portugal,Jury,3,5.4
1965,Final,Austria,Portugal,Jury,5,9.8
1965,Final,Austria,Ireland,Jury,5,9.8
1965,Final,Austria,United Kingdom,Jury,3,5.4
1965,Final,Austria,Italy,Jury,3,5.4
1965,Final,Norway,Austria,Jury,1,1.0
1965,Final,Monaco,United Kingdom,Jury,5,9.8
1965,Final,Monaco,Switzerland,Jury,1,1.0
1965,Final,Monaco,Yugoslavia,Jury,1,1.0
1965,Final,Sweden,Denmark,Jury,3,5.4
1965,Final,Sweden,Finland,Jury,3,5.4
1965,Final,France,Monaco,Jury,5,9.8
1965,Final,France,Yugoslavia,Jury,5,9.8
1965,Final,France,Spain,Jury,3,5.4
1965,Final,France,Germany,Jury,3,5.4
1965,Final,France,Luxembourg,Jury,3,5.4
1965,Final,France,Ireland,Jury,1,1.0
1965,Final,France,Netherlands,Jury,1,1.0
1965,Final,France,Finland,Jury,1,1.0
1965,Final,Portugal,Monaco,Jury,1,1.0
1965,Final,Italy,France,Jury,3,5.4
1965,Final,Italy,Belgium,Jury,3,5.4
1965,Final,Italy,Netherlands,Jury,3,5.4
1965,Final,Italy,Monaco,Jury,3,5.4
1965,Final,Italy,United Kingdom,Jury,1,1.0
1965,Final,Italy,Germany,Jury,1,1.0
1965,Final,Italy,Luxembourg,Jury,1,1.0
1965,Final,Denmark,Luxembourg,Jury,5,9.8
1965,Final,Denmark,Sweden,Jury,5,9.8
1965,Final,Luxembourg,Germany,Jury,5,9.8
1965,Final,Luxembourg,Austria,Jury,5,9.8
1965,Final,Luxembourg,Netherlands,Jury,5,9.8
1965,Final,Luxembourg,Finland,Jury,5,9.8
1965,Final,Luxembourg,Switzerland,Jury,3,5.4
1965,Final,Luxembourg,Norway,Jury,3,5.4
1965,Final,Luxembourg,Ireland,Jury,3,5.4
1965,Final,Luxembourg,Denmark,Jury,1,1.0
1965,Final,Luxembourg,Sweden,Jury,1,1.0
1965,Final,Luxembourg,Spain,Jury,1,1.0
1965,Final,Yugoslavia,France,Jury,1,1.0
1965,Final,Yugoslavia,Portugal,Jury,1,1.0
1965,Final,Switzerland,France,Jury,5,9.8
1965,Final,Switzerland,Austria,Jury,3,5.4
1966,Final,Germany,Switzerland,Jury,5,12.0
1966,Final,Germany,Italy,Jury,1,1.0
1966,Final,Germany,Belgium,Jury,1,1.0
1966,Final,Denmark,Finland,Jury,3,6.5
1966,Final,Denmark,Norway,Jury,1,1.0
1966,Final,Belgium,Germany,Jury,5,12.0
1966,Final,Belgium,Netherlands,Jury,5,12.0
1966,Final,Belgium,Portugal,Jury,3,6.5
1966,Final,Belgium,Sweden,Jury,1,1.0
